filename,sha256,pass,offset_hz,samples,endpoint_clipped_values,clipped_fraction,measured_offset_hz,frequency_error_hz,tone_power_db_adc2,frequency_within_tolerance,mean_power_db_adc2,relative_response_db,between_pass_difference_db,clipping_ok,frequency_ok,response_ok,repeat_difference_ok,numerical_rules_pass,reference_power_db_adc2,controlled_amplitude_repeatability_established
pass1_minus900k.cs8,53662077ae38e506073e484539877bf5006d9fb241c816d21e6ba5a223fbb0e8,1,-900000,4000000,0,0.0,-900253.2958984375,-253.2958984375,25.335530474505887,True,23.7594129429673,3.8357637471687624,3.152235063077171,False,True,True,False,False,19.92364919579854,False
pass1_minus800k.cs8,f2b78b1e85055aabfe3c6e255110d29ffe1b74ecece9108fde02474dc7741c10,1,-800000,4000000,0,0.0,-800209.0454101562,-209.04541015625,25.202129890076648,True,27.13565209117364,7.2120028953751,3.8670444021939794,True,True,True,False,False,19.92364919579854,False
pass1_minus700k.cs8,2c0c461e8651d158c6caaaad964ff91d30cd9ae1ea5f898cd44776e4d4dc34be,1,-700000,4000000,0,0.0,-700187.6831054688,-187.68310546875,28.643763832044872,True,27.200870644176966,7.277221448378427,2.885786375735808,True,True,True,False,False,19.92364919579854,False
pass1_minus600k.cs8,a01a7587559bec94b976c2487d3968443af9460be0501b971b4ec9eb9bfb1f97,1,-600000,4000000,0,0.0,-600234.9853515625,-234.9853515625,28.3114333979086,True,26.35382024196805,6.430171046169512,3.915226311881103,True,True,True,False,False,19.92364919579854,False
pass1_minus500k.cs8,ace72114ff4c88da74d8cf74ae92f9a6f01fc0c815e3853e60b2105772d82b1b,1,-500000,4000000,0,0.0,-500213.623046875,-213.623046875,28.922224111161267,True,24.79545752807725,4.871808332278711,8.25353316616803,True,True,True,False,False,19.92364919579854,False
pass1_minus400k.cs8,246cc4d3f071443353c329615d9b5e3cf6b515884fbc6d177201fae71747ba05,1,-400000,4000000,0,0.0,-400184.63134765625,-184.63134765625,29.09052375158413,True,25.105461829933333,5.181812634134793,7.9701238433015895,True,True,True,False,False,19.92364919579854,False
pass1_minus300k.cs8,ab5f6cd6985a3ef45115c5f94f829002a78df5d3784fc1d9fd804590f5329903,1,-300000,4000000,0,0.0,-300224.30419921875,-224.30419921875,26.286971451945718,True,22.590821859634925,2.6671726638363857,7.392299184621585,True,True,True,False,False,19.92364919579854,False
pass1_minus200k.cs8,1fd0ffd12da247e0e8aa4226f1451aed4a5ada3e91d446365298e9eb67cfe627,1,-200000,4000000,0,0.0,-200210.5712890625,-210.5712890625,23.667993732169403,True,22.671568609430906,2.747919413632367,1.9928502454769905,True,True,True,False,False,19.92364919579854,False
pass1_minus100k.cs8,452f6c52c1752ed47ba55d79879fbaf4d87b63267688bcde8404b52a7f6c315c,1,-100000,4000000,0,0.0,-100181.57958984375,-181.57958984375,23.541043789645713,True,20.786197378604722,0.862548182806183,5.5096928220819805,True,True,True,False,False,19.92364919579854,False
pass1_plus100k.cs8,c5838ff2c36830f3e25a69e49e0fb58c1c335dd86c4fa9aa4a8491879b97d0a1,1,100000,4000000,0,0.0,99784.85107421875,-215.14892578125,21.084904703437072,True,19.061101012992353,-0.8625481828061865,4.047607380889438,True,True,True,False,False,19.92364919579854,False
pass1_plus200k.cs8,437c590d7c1a2913d0e8169ad7a75b6999ed4cf4d173522e7936423194d7faba,1,200000,4000000,0,0.0,199821.47216796875,-178.52783203125,20.89878677546459,True,19.371711721040175,-0.5519374747583647,3.0541501088488303,True,True,True,False,False,19.92364919579854,False
pass1_plus300k.cs8,0f50ce2cbb8d1eb05d4606de313bc90e3bd8d0651b975d99f147fb57caba6dc9,1,300000,4000000,0,0.0,299774.169921875,-225.830078125,18.725430862680057,True,19.242876044585664,-0.6807731512128754,1.0348903638112148,True,True,True,False,False,19.92364919579854,False
