arm_id,representation,width_hz,association,state,metrics,failure
native__w200__connected,native,200,connected,COMPLETE,"{""detection_count"": 8681, ""diagnostic_dominant_denominator"": 204, ""diagnostic_dominant_retained"": 83, ""null_primary_episodes"": 41, ""persistent_tracks"": 2, ""primary_tracks"": 0, ""resolution_dependence"": {""10923"": {""detections"": 1563, ""fragments"": 143}, ""21846"": {""detections"": 3120, ""fragments"": 44}, ""43692"": {""detections"": 3853, ""fragments"": 22}, ""54615"": {""detections"": 145, ""fragments"": 1}}, ""status_transitions"": {""AMBIGUOUS_ASSOCIATION -> AMBIGUOUS_ASSOCIATION"": 38, ""INSUFFICIENT_SUPPORT -> INSUFFICIENT_SUPPORT"": 3}, ""statuses"": {""AMBIGUOUS_ASSOCIATION"": 38, ""INSUFFICIENT_SUPPORT"": 3}, ""structural_constraint_violations"": 0, ""width_rejection"": 135}",null
native__w200__paths_margin0,native,200,paths_margin0,COMPUTATION_UNRESOLVED,null,"{""candidates"": 73, ""capture"": ""PIPELINE-TPMS-008-20260918-003900"", ""episode"": 8, ""feasible_paths"": 412, ""limit"": 200000, ""reason"": ""exact partition DP state limit"", ""visited_states"": 200001}"
native__w200__paths_margin0.25,native,200,paths_margin0.25,NOT_RUN,null,null
native__w200__paths_margin1,native,200,paths_margin1,NOT_RUN,null,null
native__w225__connected,native,225,connected,NOT_RUN,null,null
native__w225__paths_margin0,native,225,paths_margin0,NOT_RUN,null,null
native__w225__paths_margin0.25,native,225,paths_margin0.25,NOT_RUN,null,null
native__w225__paths_margin1,native,225,paths_margin1,NOT_RUN,null,null
native__w250__connected,native,250,connected,NOT_RUN,null,null
native__w250__paths_margin0,native,250,paths_margin0,NOT_RUN,null,null
native__w250__paths_margin0.25,native,250,paths_margin0.25,NOT_RUN,null,null
native__w250__paths_margin1,native,250,paths_margin1,NOT_RUN,null,null
native__w275__connected,native,275,connected,NOT_RUN,null,null
native__w275__paths_margin0,native,275,paths_margin0,NOT_RUN,null,null
native__w275__paths_margin0.25,native,275,paths_margin0.25,NOT_RUN,null,null
native__w275__paths_margin1,native,275,paths_margin1,NOT_RUN,null,null
native__w300__connected,native,300,connected,NOT_RUN,null,null
native__w300__paths_margin0,native,300,paths_margin0,NOT_RUN,null,null
native__w300__paths_margin0.25,native,300,paths_margin0.25,NOT_RUN,null,null
native__w300__paths_margin1,native,300,paths_margin1,NOT_RUN,null,null
native__w325__connected,native,325,connected,NOT_RUN,null,null
native__w325__paths_margin0,native,325,paths_margin0,NOT_RUN,null,null
native__w325__paths_margin0.25,native,325,paths_margin0.25,NOT_RUN,null,null
native__w325__paths_margin1,native,325,paths_margin1,NOT_RUN,null,null
native__w350__connected,native,350,connected,NOT_RUN,null,null
native__w350__paths_margin0,native,350,paths_margin0,NOT_RUN,null,null
native__w350__paths_margin0.25,native,350,paths_margin0.25,NOT_RUN,null,null
native__w350__paths_margin1,native,350,paths_margin1,NOT_RUN,null,null
native__wunlimited__connected,native,,connected,NOT_RUN,null,null
native__wunlimited__paths_margin0,native,,paths_margin0,NOT_RUN,null,null
native__wunlimited__paths_margin0.25,native,,paths_margin0.25,NOT_RUN,null,null
native__wunlimited__paths_margin1,native,,paths_margin1,NOT_RUN,null,null
grid_sigma0__w200__connected,grid_sigma0,200,connected,NOT_RUN,null,null
grid_sigma0__w200__paths_margin0,grid_sigma0,200,paths_margin0,NOT_RUN,null,null
grid_sigma0__w200__paths_margin0.25,grid_sigma0,200,paths_margin0.25,NOT_RUN,null,null
grid_sigma0__w200__paths_margin1,grid_sigma0,200,paths_margin1,NOT_RUN,null,null
grid_sigma0__w225__connected,grid_sigma0,225,connected,NOT_RUN,null,null
grid_sigma0__w225__paths_margin0,grid_sigma0,225,paths_margin0,NOT_RUN,null,null
grid_sigma0__w225__paths_margin0.25,grid_sigma0,225,paths_margin0.25,NOT_RUN,null,null
grid_sigma0__w225__paths_margin1,grid_sigma0,225,paths_margin1,NOT_RUN,null,null
grid_sigma0__w250__connected,grid_sigma0,250,connected,NOT_RUN,null,null
grid_sigma0__w250__paths_margin0,grid_sigma0,250,paths_margin0,NOT_RUN,null,null
grid_sigma0__w250__paths_margin0.25,grid_sigma0,250,paths_margin0.25,NOT_RUN,null,null
grid_sigma0__w250__paths_margin1,grid_sigma0,250,paths_margin1,NOT_RUN,null,null
grid_sigma0__w275__connected,grid_sigma0,275,connected,NOT_RUN,null,null
grid_sigma0__w275__paths_margin0,grid_sigma0,275,paths_margin0,NOT_RUN,null,null
grid_sigma0__w275__paths_margin0.25,grid_sigma0,275,paths_margin0.25,NOT_RUN,null,null
