block,natural_number,session_id,assigned_cluster,nearest_distance,second_nearest_distance,separation_ratio,distance_vs_training_max,novelty
A_same_runtime,5,TPMS-NATURAL-005-20260925-005143,2,2.666205,3.802941,1.42635,1.193861,OUTSIDE_OBSERVED_TRAINING_RANGE
A_same_runtime,6,TPMS-NATURAL-006-20260925-005606,2,2.992609,4.54044,1.517218,1.340017,OUTSIDE_OBSERVED_TRAINING_RANGE
A_same_runtime,7,TPMS-NATURAL-007-20260925-005956,1,2.171519,4.246498,1.955543,0.650082,WITHIN_OBSERVED_TRAINING_RANGE
B_fresh_runtime,8,TPMS-NATURAL-008-20260925-012315,1,2.832262,3.604098,1.272516,0.847887,WITHIN_OBSERVED_TRAINING_RANGE
B_fresh_runtime,9,TPMS-NATURAL-009-20260925-012627,1,2.763833,3.795099,1.373129,0.827401,WITHIN_OBSERVED_TRAINING_RANGE
B_fresh_runtime,10,TPMS-NATURAL-010-20260925-012906,1,2.659502,3.884865,1.460749,0.796168,WITHIN_OBSERVED_TRAINING_RANGE
C_fresh_runtime,11,TPMS-NATURAL-011-20260925-014556,1,2.119065,4.080086,1.925418,0.634379,WITHIN_OBSERVED_TRAINING_RANGE
C_fresh_runtime,12,TPMS-NATURAL-012-20260925-014842,1,1.811031,4.655661,2.570724,0.542163,WITHIN_OBSERVED_TRAINING_RANGE
C_fresh_runtime,13,TPMS-NATURAL-013-20260925-015115,1,2.233358,3.772435,1.689132,0.668594,WITHIN_OBSERVED_TRAINING_RANGE
D_fresh_runtime,15,TPMS-NATURAL-015-20260925-020456,1,1.814908,3.920205,2.160003,0.543324,WITHIN_OBSERVED_TRAINING_RANGE
D_fresh_runtime,16,TPMS-NATURAL-016-20260925-020743,1,2.637901,4.354058,1.650577,0.789701,WITHIN_OBSERVED_TRAINING_RANGE
D_fresh_runtime,17,TPMS-NATURAL-017-20260925-021012,1,2.314005,4.026706,1.740145,0.692738,WITHIN_OBSERVED_TRAINING_RANGE
