,PC1,PC2,pc1_abs,pc2_abs
stable_ratio,0.36027725417388284,0.11704093992944492,0.36027725417388284,0.11704093992944492
multipath_ratio,-0.35862319022293243,-0.12994117562251328,0.35862319022293243,0.12994117562251328
bearing_circular_std_deg,-0.022864152431795508,0.4202470656594736,0.022864152431795508,0.4202470656594736
peak_power_mean_db,0.05892597954607229,0.4761942757572605,0.05892597954607229,0.4761942757572605
peak_power_std_db,0.043906629903076116,0.4138670097279726,0.043906629903076116,0.4138670097279726
max_confidence_mean,0.3502497371907801,0.06451579803758346,0.3502497371907801,0.06451579803758346
median_confidence_mean,0.3555851313992969,0.12224143893758138,0.3555851313992969,0.12224143893758138
doa_width_mean_deg,-0.3508285783899703,0.053696512714712985,0.3508285783899703,0.053696512714712985
doa_width_std_deg,-0.20151733714190073,0.19942605975946456,0.20151733714190073,0.19942605975946456
median_doa_peaks_mean,-0.3406639431715849,0.08717493855073657,0.3406639431715849,0.08717493855073657
bearing_spread_mean_deg,-0.2756230831869872,0.3022961362364095,0.2756230831869872,0.3022961362364095
single_peak_ratio_mean,0.35774783423794343,-0.12412591872962536,0.35774783423794343,0.12412591872962536
samples_mean,-0.053458050421908175,-0.4675609362249963,0.053458050421908175,0.4675609362249963
