session_id,baseline_cluster,membership_retention
TPMS-EPISODE-SMOKE-20260923-040249,0,0.828
TPMS-ENGINE-SMOKE-20260923-034910,0,0.928
TPMS-AGEING-V1-20260923-013845,0,0.976
TPMS-EVENTS-V1-20260923-012705,0,0.976
TPMS-HYST-CLEAN-V1-20260923-020243,0,0.976
TPMS-MATURE-HYST-V1-20260923-021943,0,0.984
TPMS-CLEAN-CHECK-20260923-025327,0,0.985
TPMS-MATURE-V2-20260923-023744,0,0.985
TPMS-LIVE-EPISODE-V1-20260924-233453,0,0.99
TPMS-MATURE-FINAL-20260923-031138,0,0.996
TPMS-HYST-V1-20260923-015519,0,0.998
TPMS-DECORR-FBA-20260924-235553,1,0.588
TPMS-POSTREBOOT-CHECK-20260923-030738,1,0.997
TPMS-AGE-LOSS-V1-20260923-015119,1,1.0
TPMS-AGEING-V1-20260923-014553,1,1.0
TPMS-QUALITY-V1B-20260923-010308,1,1.0
TPMS-TRACK-SHIFT-V1-20260923-011326,1,1.0
TPMS-TRACK-V1-20260923-010932,1,1.0
TPMS-DECORR-FBSS-20260924-235842,2,0.957
TPMS-GEOMETRY-CHECK-20260924-234707,2,0.986
TPMS-LOS-CHECK-20260924-234946,2,0.986
