dropped_feature,remaining_features,adjusted_rand_index,overall_membership_retention,cluster_0_retention,cluster_1_retention,cluster_2_retention
bearing_circular_std_deg,10,0.8296593186372746,0.9523809523809523,1.0,0.8571428571428571,1.0
peak_power_mean_db,10,0.8657421068161699,0.9523809523809523,0.9090909090909091,1.0,1.0
doa_width_std_deg,10,0.8657421068161699,0.9523809523809523,0.9090909090909091,1.0,1.0
peak_power_std_db,10,0.9079933794177782,0.9523809523809523,1.0,0.8571428571428571,1.0
samples_mean,10,0.9079933794177782,0.9523809523809523,1.0,0.8571428571428571,1.0
max_confidence_mean,10,1.0,1.0,1.0,1.0,1.0
median_confidence_mean,10,1.0,1.0,1.0,1.0,1.0
doa_width_mean_deg,10,1.0,1.0,1.0,1.0,1.0
median_doa_peaks_mean,10,1.0,1.0,1.0,1.0,1.0
bearing_spread_mean_deg,10,1.0,1.0,1.0,1.0,1.0
single_peak_ratio_mean,10,1.0,1.0,1.0,1.0,1.0
