dropped_feature,session_id,baseline_cluster,ablation_cluster,membership_retained
bearing_circular_std_deg,TPMS-AGE-LOSS-V1-20260923-015119,1,1,True
bearing_circular_std_deg,TPMS-AGEING-V1-20260923-013845,0,0,True
bearing_circular_std_deg,TPMS-AGEING-V1-20260923-014553,1,1,True
bearing_circular_std_deg,TPMS-CLEAN-CHECK-20260923-025327,0,0,True
bearing_circular_std_deg,TPMS-DECORR-FBA-20260924-235553,1,0,False
bearing_circular_std_deg,TPMS-DECORR-FBSS-20260924-235842,2,2,True
bearing_circular_std_deg,TPMS-ENGINE-SMOKE-20260923-034910,0,0,True
bearing_circular_std_deg,TPMS-EPISODE-SMOKE-20260923-040249,0,0,True
bearing_circular_std_deg,TPMS-EVENTS-V1-20260923-012705,0,0,True
bearing_circular_std_deg,TPMS-GEOMETRY-CHECK-20260924-234707,2,2,True
bearing_circular_std_deg,TPMS-HYST-CLEAN-V1-20260923-020243,0,0,True
bearing_circular_std_deg,TPMS-HYST-V1-20260923-015519,0,0,True
bearing_circular_std_deg,TPMS-LIVE-EPISODE-V1-20260924-233453,0,0,True
bearing_circular_std_deg,TPMS-LOS-CHECK-20260924-234946,2,2,True
bearing_circular_std_deg,TPMS-MATURE-FINAL-20260923-031138,0,0,True
bearing_circular_std_deg,TPMS-MATURE-HYST-V1-20260923-021943,0,0,True
bearing_circular_std_deg,TPMS-MATURE-V2-20260923-023744,0,0,True
bearing_circular_std_deg,TPMS-POSTREBOOT-CHECK-20260923-030738,1,1,True
bearing_circular_std_deg,TPMS-QUALITY-V1B-20260923-010308,1,1,True
bearing_circular_std_deg,TPMS-TRACK-SHIFT-V1-20260923-011326,1,1,True
bearing_circular_std_deg,TPMS-TRACK-V1-20260923-010932,1,1,True
peak_power_mean_db,TPMS-AGE-LOSS-V1-20260923-015119,1,1,True
peak_power_mean_db,TPMS-AGEING-V1-20260923-013845,0,0,True
peak_power_mean_db,TPMS-AGEING-V1-20260923-014553,1,1,True
peak_power_mean_db,TPMS-CLEAN-CHECK-20260923-025327,0,0,True
peak_power_mean_db,TPMS-DECORR-FBA-20260924-235553,1,1,True
peak_power_mean_db,TPMS-DECORR-FBSS-20260924-235842,2,2,True
peak_power_mean_db,TPMS-ENGINE-SMOKE-20260923-034910,0,0,True
peak_power_mean_db,TPMS-EPISODE-SMOKE-20260923-040249,0,2,False
peak_power_mean_db,TPMS-EVENTS-V1-20260923-012705,0,0,True
peak_power_mean_db,TPMS-GEOMETRY-CHECK-20260924-234707,2,2,True
peak_power_mean_db,TPMS-HYST-CLEAN-V1-20260923-020243,0,0,True
peak_power_mean_db,TPMS-HYST-V1-20260923-015519,0,0,True
peak_power_mean_db,TPMS-LIVE-EPISODE-V1-20260924-233453,0,0,True
peak_power_mean_db,TPMS-LOS-CHECK-20260924-234946,2,2,True
peak_power_mean_db,TPMS-MATURE-FINAL-20260923-031138,0,0,True
peak_power_mean_db,TPMS-MATURE-HYST-V1-20260923-021943,0,0,True
peak_power_mean_db,TPMS-MATURE-V2-20260923-023744,0,0,True
peak_power_mean_db,TPMS-POSTREBOOT-CHECK-20260923-030738,1,1,True
peak_power_mean_db,TPMS-QUALITY-V1B-20260923-010308,1,1,True
peak_power_mean_db,TPMS-TRACK-SHIFT-V1-20260923-011326,1,1,True
peak_power_mean_db,TPMS-TRACK-V1-20260923-010932,1,1,True
peak_power_std_db,TPMS-AGE-LOSS-V1-20260923-015119,1,1,True
peak_power_std_db,TPMS-AGEING-V1-20260923-013845,0,0,True
peak_power_std_db,TPMS-AGEING-V1-20260923-014553,1,1,True
peak_power_std_db,TPMS-CLEAN-CHECK-20260923-025327,0,0,True
peak_power_std_db,TPMS-DECORR-FBA-20260924-235553,1,2,False
peak_power_std_db,TPMS-DECORR-FBSS-20260924-235842,2,2,True
peak_power_std_db,TPMS-ENGINE-SMOKE-20260923-034910,0,0,True
peak_power_std_db,TPMS-EPISODE-SMOKE-20260923-040249,0,0,True
peak_power_std_db,TPMS-EVENTS-V1-20260923-012705,0,0,True
peak_power_std_db,TPMS-GEOMETRY-CHECK-20260924-234707,2,2,True
peak_power_std_db,TPMS-HYST-CLEAN-V1-20260923-020243,0,0,True
peak_power_std_db,TPMS-HYST-V1-20260923-015519,0,0,True
peak_power_std_db,TPMS-LIVE-EPISODE-V1-20260924-233453,0,0,True
peak_power_std_db,TPMS-LOS-CHECK-20260924-234946,2,2,True
peak_power_std_db,TPMS-MATURE-FINAL-20260923-031138,0,0,True
peak_power_std_db,TPMS-MATURE-HYST-V1-20260923-021943,0,0,True
peak_power_std_db,TPMS-MATURE-V2-20260923-023744,0,0,True
peak_power_std_db,TPMS-POSTREBOOT-CHECK-20260923-030738,1,1,True
peak_power_std_db,TPMS-QUALITY-V1B-20260923-010308,1,1,True
peak_power_std_db,TPMS-TRACK-SHIFT-V1-20260923-011326,1,1,True
peak_power_std_db,TPMS-TRACK-V1-20260923-010932,1,1,True
max_confidence_mean,TPMS-AGE-LOSS-V1-20260923-015119,1,1,True
max_confidence_mean,TPMS-AGEING-V1-20260923-013845,0,0,True
max_confidence_mean,TPMS-AGEING-V1-20260923-014553,1,1,True
max_confidence_mean,TPMS-CLEAN-CHECK-20260923-025327,0,0,True
max_confidence_mean,TPMS-DECORR-FBA-20260924-235553,1,1,True
max_confidence_mean,TPMS-DECORR-FBSS-20260924-235842,2,2,True
max_confidence_mean,TPMS-ENGINE-SMOKE-20260923-034910,0,0,True
max_confidence_mean,TPMS-EPISODE-SMOKE-20260923-040249,0,0,True
max_confidence_mean,TPMS-EVENTS-V1-20260923-012705,0,0,True
max_confidence_mean,TPMS-GEOMETRY-CHECK-20260924-234707,2,2,True
max_confidence_mean,TPMS-HYST-CLEAN-V1-20260923-020243,0,0,True
max_confidence_mean,TPMS-HYST-V1-20260923-015519,0,0,True
max_confidence_mean,TPMS-LIVE-EPISODE-V1-20260924-233453,0,0,True
max_confidence_mean,TPMS-LOS-CHECK-20260924-234946,2,2,True
max_confidence_mean,TPMS-MATURE-FINAL-20260923-031138,0,0,True
max_confidence_mean,TPMS-MATURE-HYST-V1-20260923-021943,0,0,True
max_confidence_mean,TPMS-MATURE-V2-20260923-023744,0,0,True
max_confidence_mean,TPMS-POSTREBOOT-CHECK-20260923-030738,1,1,True
max_confidence_mean,TPMS-QUALITY-V1B-20260923-010308,1,1,True
max_confidence_mean,TPMS-TRACK-SHIFT-V1-20260923-011326,1,1,True
max_confidence_mean,TPMS-TRACK-V1-20260923-010932,1,1,True
median_confidence_mean,TPMS-AGE-LOSS-V1-20260923-015119,1,1,True
median_confidence_mean,TPMS-AGEING-V1-20260923-013845,0,0,True
median_confidence_mean,TPMS-AGEING-V1-20260923-014553,1,1,True
median_confidence_mean,TPMS-CLEAN-CHECK-20260923-025327,0,0,True
median_confidence_mean,TPMS-DECORR-FBA-20260924-235553,1,1,True
median_confidence_mean,TPMS-DECORR-FBSS-20260924-235842,2,2,True
median_confidence_mean,TPMS-ENGINE-SMOKE-20260923-034910,0,0,True
median_confidence_mean,TPMS-EPISODE-SMOKE-20260923-040249,0,0,True
median_confidence_mean,TPMS-EVENTS-V1-20260923-012705,0,0,True
median_confidence_mean,TPMS-GEOMETRY-CHECK-20260924-234707,2,2,True
median_confidence_mean,TPMS-HYST-CLEAN-V1-20260923-020243,0,0,True
median_confidence_mean,TPMS-HYST-V1-20260923-015519,0,0,True
median_confidence_mean,TPMS-LIVE-EPISODE-V1-20260924-233453,0,0,True
median_confidence_mean,TPMS-LOS-CHECK-20260924-234946,2,2,True
median_confidence_mean,TPMS-MATURE-FINAL-20260923-031138,0,0,True
median_confidence_mean,TPMS-MATURE-HYST-V1-20260923-021943,0,0,True
median_confidence_mean,TPMS-MATURE-V2-20260923-023744,0,0,True
median_confidence_mean,TPMS-POSTREBOOT-CHECK-20260923-030738,1,1,True
median_confidence_mean,TPMS-QUALITY-V1B-20260923-010308,1,1,True
median_confidence_mean,TPMS-TRACK-SHIFT-V1-20260923-011326,1,1,True
median_confidence_mean,TPMS-TRACK-V1-20260923-010932,1,1,True
