dropped_family,session_id,baseline_cluster,ablation_cluster,membership_retained
bearing_dynamics,TPMS-AGE-LOSS-V1-20260923-015119,1,1,True
bearing_dynamics,TPMS-AGEING-V1-20260923-013845,0,0,True
bearing_dynamics,TPMS-AGEING-V1-20260923-014553,1,1,True
bearing_dynamics,TPMS-CLEAN-CHECK-20260923-025327,0,0,True
bearing_dynamics,TPMS-DECORR-FBA-20260924-235553,1,0,False
bearing_dynamics,TPMS-DECORR-FBSS-20260924-235842,2,2,True
bearing_dynamics,TPMS-ENGINE-SMOKE-20260923-034910,0,0,True
bearing_dynamics,TPMS-EPISODE-SMOKE-20260923-040249,0,0,True
bearing_dynamics,TPMS-EVENTS-V1-20260923-012705,0,0,True
bearing_dynamics,TPMS-GEOMETRY-CHECK-20260924-234707,2,2,True
bearing_dynamics,TPMS-HYST-CLEAN-V1-20260923-020243,0,0,True
bearing_dynamics,TPMS-HYST-V1-20260923-015519,0,0,True
bearing_dynamics,TPMS-LIVE-EPISODE-V1-20260924-233453,0,0,True
bearing_dynamics,TPMS-LOS-CHECK-20260924-234946,2,2,True
bearing_dynamics,TPMS-MATURE-FINAL-20260923-031138,0,0,True
bearing_dynamics,TPMS-MATURE-HYST-V1-20260923-021943,0,0,True
bearing_dynamics,TPMS-MATURE-V2-20260923-023744,0,0,True
bearing_dynamics,TPMS-POSTREBOOT-CHECK-20260923-030738,1,1,True
bearing_dynamics,TPMS-QUALITY-V1B-20260923-010308,1,1,True
bearing_dynamics,TPMS-TRACK-SHIFT-V1-20260923-011326,1,1,True
bearing_dynamics,TPMS-TRACK-V1-20260923-010932,1,1,True
power,TPMS-AGE-LOSS-V1-20260923-015119,1,1,True
power,TPMS-AGEING-V1-20260923-013845,0,0,True
power,TPMS-AGEING-V1-20260923-014553,1,1,True
power,TPMS-CLEAN-CHECK-20260923-025327,0,0,True
power,TPMS-DECORR-FBA-20260924-235553,1,2,False
power,TPMS-DECORR-FBSS-20260924-235842,2,2,True
power,TPMS-ENGINE-SMOKE-20260923-034910,0,0,True
power,TPMS-EPISODE-SMOKE-20260923-040249,0,0,True
power,TPMS-EVENTS-V1-20260923-012705,0,0,True
power,TPMS-GEOMETRY-CHECK-20260924-234707,2,2,True
power,TPMS-HYST-CLEAN-V1-20260923-020243,0,0,True
power,TPMS-HYST-V1-20260923-015519,0,0,True
power,TPMS-LIVE-EPISODE-V1-20260924-233453,0,0,True
power,TPMS-LOS-CHECK-20260924-234946,2,2,True
power,TPMS-MATURE-FINAL-20260923-031138,0,0,True
power,TPMS-MATURE-HYST-V1-20260923-021943,0,0,True
power,TPMS-MATURE-V2-20260923-023744,0,0,True
power,TPMS-POSTREBOOT-CHECK-20260923-030738,1,1,True
power,TPMS-QUALITY-V1B-20260923-010308,1,1,True
power,TPMS-TRACK-SHIFT-V1-20260923-011326,1,1,True
power,TPMS-TRACK-V1-20260923-010932,1,1,True
confidence,TPMS-AGE-LOSS-V1-20260923-015119,1,1,True
confidence,TPMS-AGEING-V1-20260923-013845,0,0,True
confidence,TPMS-AGEING-V1-20260923-014553,1,1,True
confidence,TPMS-CLEAN-CHECK-20260923-025327,0,0,True
confidence,TPMS-DECORR-FBA-20260924-235553,1,1,True
confidence,TPMS-DECORR-FBSS-20260924-235842,2,2,True
confidence,TPMS-ENGINE-SMOKE-20260923-034910,0,0,True
confidence,TPMS-EPISODE-SMOKE-20260923-040249,0,0,True
confidence,TPMS-EVENTS-V1-20260923-012705,0,0,True
confidence,TPMS-GEOMETRY-CHECK-20260924-234707,2,2,True
confidence,TPMS-HYST-CLEAN-V1-20260923-020243,0,0,True
confidence,TPMS-HYST-V1-20260923-015519,0,0,True
confidence,TPMS-LIVE-EPISODE-V1-20260924-233453,0,0,True
confidence,TPMS-LOS-CHECK-20260924-234946,2,2,True
confidence,TPMS-MATURE-FINAL-20260923-031138,0,0,True
confidence,TPMS-MATURE-HYST-V1-20260923-021943,0,0,True
confidence,TPMS-MATURE-V2-20260923-023744,0,0,True
confidence,TPMS-POSTREBOOT-CHECK-20260923-030738,1,1,True
confidence,TPMS-QUALITY-V1B-20260923-010308,1,1,True
confidence,TPMS-TRACK-SHIFT-V1-20260923-011326,1,1,True
confidence,TPMS-TRACK-V1-20260923-010932,1,1,True
doa_width,TPMS-AGE-LOSS-V1-20260923-015119,1,1,True
doa_width,TPMS-AGEING-V1-20260923-013845,0,0,True
doa_width,TPMS-AGEING-V1-20260923-014553,1,1,True
doa_width,TPMS-CLEAN-CHECK-20260923-025327,0,0,True
doa_width,TPMS-DECORR-FBA-20260924-235553,1,1,True
doa_width,TPMS-DECORR-FBSS-20260924-235842,2,2,True
doa_width,TPMS-ENGINE-SMOKE-20260923-034910,0,0,True
doa_width,TPMS-EPISODE-SMOKE-20260923-040249,0,0,True
doa_width,TPMS-EVENTS-V1-20260923-012705,0,0,True
doa_width,TPMS-GEOMETRY-CHECK-20260924-234707,2,2,True
doa_width,TPMS-HYST-CLEAN-V1-20260923-020243,0,0,True
doa_width,TPMS-HYST-V1-20260923-015519,0,0,True
doa_width,TPMS-LIVE-EPISODE-V1-20260924-233453,0,0,True
doa_width,TPMS-LOS-CHECK-20260924-234946,2,2,True
doa_width,TPMS-MATURE-FINAL-20260923-031138,0,0,True
doa_width,TPMS-MATURE-HYST-V1-20260923-021943,0,0,True
doa_width,TPMS-MATURE-V2-20260923-023744,0,0,True
doa_width,TPMS-POSTREBOOT-CHECK-20260923-030738,1,1,True
doa_width,TPMS-QUALITY-V1B-20260923-010308,1,1,True
doa_width,TPMS-TRACK-SHIFT-V1-20260923-011326,1,1,True
doa_width,TPMS-TRACK-V1-20260923-010932,1,1,True
peak_structure,TPMS-AGE-LOSS-V1-20260923-015119,1,1,True
peak_structure,TPMS-AGEING-V1-20260923-013845,0,0,True
peak_structure,TPMS-AGEING-V1-20260923-014553,1,1,True
peak_structure,TPMS-CLEAN-CHECK-20260923-025327,0,0,True
peak_structure,TPMS-DECORR-FBA-20260924-235553,1,1,True
peak_structure,TPMS-DECORR-FBSS-20260924-235842,2,2,True
peak_structure,TPMS-ENGINE-SMOKE-20260923-034910,0,0,True
peak_structure,TPMS-EPISODE-SMOKE-20260923-040249,0,0,True
peak_structure,TPMS-EVENTS-V1-20260923-012705,0,0,True
peak_structure,TPMS-GEOMETRY-CHECK-20260924-234707,2,2,True
peak_structure,TPMS-HYST-CLEAN-V1-20260923-020243,0,0,True
peak_structure,TPMS-HYST-V1-20260923-015519,0,0,True
peak_structure,TPMS-LIVE-EPISODE-V1-20260924-233453,0,0,True
peak_structure,TPMS-LOS-CHECK-20260924-234946,2,2,True
peak_structure,TPMS-MATURE-FINAL-20260923-031138,0,0,True
peak_structure,TPMS-MATURE-HYST-V1-20260923-021943,0,0,True
peak_structure,TPMS-MATURE-V2-20260923-023744,0,0,True
peak_structure,TPMS-POSTREBOOT-CHECK-20260923-030738,1,1,True
peak_structure,TPMS-QUALITY-V1B-20260923-010308,1,1,True
peak_structure,TPMS-TRACK-SHIFT-V1-20260923-011326,1,1,True
peak_structure,TPMS-TRACK-V1-20260923-010932,1,1,True
sampling,TPMS-AGE-LOSS-V1-20260923-015119,1,1,True
sampling,TPMS-AGEING-V1-20260923-013845,0,0,True
sampling,TPMS-AGEING-V1-20260923-014553,1,1,True
sampling,TPMS-CLEAN-CHECK-20260923-025327,0,0,True
sampling,TPMS-DECORR-FBA-20260924-235553,1,2,False
sampling,TPMS-DECORR-FBSS-20260924-235842,2,2,True
sampling,TPMS-ENGINE-SMOKE-20260923-034910,0,0,True
sampling,TPMS-EPISODE-SMOKE-20260923-040249,0,0,True
sampling,TPMS-EVENTS-V1-20260923-012705,0,0,True
sampling,TPMS-GEOMETRY-CHECK-20260924-234707,2,2,True
sampling,TPMS-HYST-CLEAN-V1-20260923-020243,0,0,True
sampling,TPMS-HYST-V1-20260923-015519,0,0,True
sampling,TPMS-LIVE-EPISODE-V1-20260924-233453,0,0,True
sampling,TPMS-LOS-CHECK-20260924-234946,2,2,True
sampling,TPMS-MATURE-FINAL-20260923-031138,0,0,True
sampling,TPMS-MATURE-HYST-V1-20260923-021943,0,0,True
sampling,TPMS-MATURE-V2-20260923-023744,0,0,True
sampling,TPMS-POSTREBOOT-CHECK-20260923-030738,1,1,True
sampling,TPMS-QUALITY-V1B-20260923-010308,1,1,True
sampling,TPMS-TRACK-SHIFT-V1-20260923-011326,1,1,True
sampling,TPMS-TRACK-V1-20260923-010932,1,1,True
