time,session_id,model_version,training_dataset_sha256,assigned_cluster,nearest_distance,second_nearest_distance,separation_ratio,distance_vs_training_max,novelty
2026-09-25T00:48:32.911249+01:00,TPMS-PROSPECTIVE-001-20260925-002112,0.1,e1a63cf6be87d85584a9201e395b1fcdd8251ee7c6cb09ce5eb502886cf76a51,1,2.206062,3.630412,1.645653,0.660423,WITHIN_OBSERVED_TRAINING_RANGE
2026-09-25T00:54:03.896409+01:00,TPMS-NATURAL-005-20260925-005143,0.1,e1a63cf6be87d85584a9201e395b1fcdd8251ee7c6cb09ce5eb502886cf76a51,2,2.666205,3.802941,1.426350,1.193861,OUTSIDE_OBSERVED_TRAINING_RANGE
2026-09-25T00:58:17.944241+01:00,TPMS-NATURAL-006-20260925-005606,0.1,e1a63cf6be87d85584a9201e395b1fcdd8251ee7c6cb09ce5eb502886cf76a51,2,2.992609,4.540440,1.517218,1.340017,OUTSIDE_OBSERVED_TRAINING_RANGE
2026-09-25T01:01:53.325698+01:00,TPMS-NATURAL-007-20260925-005956,0.1,e1a63cf6be87d85584a9201e395b1fcdd8251ee7c6cb09ce5eb502886cf76a51,1,2.171519,4.246498,1.955543,0.650082,WITHIN_OBSERVED_TRAINING_RANGE
2026-09-25T01:25:47.925085+01:00,TPMS-NATURAL-008-20260925-012315,0.1,e1a63cf6be87d85584a9201e395b1fcdd8251ee7c6cb09ce5eb502886cf76a51,1,2.832262,3.604098,1.272516,0.847887,WITHIN_OBSERVED_TRAINING_RANGE
2026-09-25T01:28:36.708568+01:00,TPMS-NATURAL-009-20260925-012627,0.1,e1a63cf6be87d85584a9201e395b1fcdd8251ee7c6cb09ce5eb502886cf76a51,1,2.763833,3.795099,1.373129,0.827401,WITHIN_OBSERVED_TRAINING_RANGE
2026-09-25T01:31:06.652522+01:00,TPMS-NATURAL-010-20260925-012906,0.1,e1a63cf6be87d85584a9201e395b1fcdd8251ee7c6cb09ce5eb502886cf76a51,1,2.659502,3.884865,1.460749,0.796168,WITHIN_OBSERVED_TRAINING_RANGE
2026-09-25T01:48:14.219824+01:00,TPMS-NATURAL-011-20260925-014556,0.1,e1a63cf6be87d85584a9201e395b1fcdd8251ee7c6cb09ce5eb502886cf76a51,1,2.119065,4.080086,1.925418,0.634379,WITHIN_OBSERVED_TRAINING_RANGE
2026-09-25T01:50:35.666647+01:00,TPMS-NATURAL-012-20260925-014842,0.1,e1a63cf6be87d85584a9201e395b1fcdd8251ee7c6cb09ce5eb502886cf76a51,1,1.811031,4.655661,2.570724,0.542163,WITHIN_OBSERVED_TRAINING_RANGE
2026-09-25T01:53:42.151105+01:00,TPMS-NATURAL-013-20260925-015115,0.1,e1a63cf6be87d85584a9201e395b1fcdd8251ee7c6cb09ce5eb502886cf76a51,1,2.233358,3.772435,1.689132,0.668594,WITHIN_OBSERVED_TRAINING_RANGE
2026-09-25T02:03:22.268232+01:00,TPMS-NATURAL-014-20260925-020102,0.1,e1a63cf6be87d85584a9201e395b1fcdd8251ee7c6cb09ce5eb502886cf76a51,1,1.555176,4.521291,2.907253,0.465569,WITHIN_OBSERVED_TRAINING_RANGE
2026-09-25T02:07:04.726306+01:00,TPMS-NATURAL-015-20260925-020456,0.1,e1a63cf6be87d85584a9201e395b1fcdd8251ee7c6cb09ce5eb502886cf76a51,1,1.814908,3.920205,2.160003,0.543324,WITHIN_OBSERVED_TRAINING_RANGE
2026-09-25T02:09:38.899151+01:00,TPMS-NATURAL-016-20260925-020743,0.1,e1a63cf6be87d85584a9201e395b1fcdd8251ee7c6cb09ce5eb502886cf76a51,1,2.637901,4.354058,1.650577,0.789701,WITHIN_OBSERVED_TRAINING_RANGE
2026-09-25T02:12:32.732923+01:00,TPMS-NATURAL-017-20260925-021012,0.1,e1a63cf6be87d85584a9201e395b1fcdd8251ee7c6cb09ce5eb502886cf76a51,1,2.314005,4.026706,1.740145,0.692738,WITHIN_OBSERVED_TRAINING_RANGE
