session_id,start_time,end_time,duration_s,burst_count,stable_count,multipath_count,low_quality_count,stable_ratio,multipath_ratio,low_quality_ratio,bearing_circular_mean_deg,bearing_circular_std_deg,peak_power_mean_db,peak_power_std_db,max_confidence_mean,median_confidence_mean,doa_width_mean_deg,doa_width_std_deg,median_doa_peaks_mean,bearing_spread_mean_deg,single_peak_ratio_mean,samples_mean,track_event_count,track_acquired_count,track_reacquired_count,track_shift_confirmed_count,track_degraded_count,track_lost_count,track_recovered_count,episode_event_count,episode_started_count,episode_closed_count
TPMS-AGE-LOSS-V1-20260923-015119,2026-09-23T01:51:34,2026-09-23T01:51:56,22.0,3,3,0,0,1.0,0.0,0.0,147.13335181105165,0.8013974840792808,-20.866666666666667,4.707794954470016,6.303333333333334,6.243333333333333,49.0,0.0,1.0,0.7999999999999999,1.0,3.0,0,0,0,0,0,0,0,0,0,0
TPMS-AGEING-V1-20260923-013845,2026-09-23T01:39:24,2026-09-23T01:42:15,171.0,17,8,9,0,0.47058823529411764,0.5294117647058824,0.0,212.65937956259722,87.17911974491945,-19.729411764705883,3.32730459717065,4.35,4.228235294117647,70.94117647058823,16.41063141775513,1.4705882352941178,5.3235294117647065,0.51,3.0,1,1,0,0,0,0,0,0,0,0
TPMS-AGEING-V1-20260923-014553,2026-09-23T01:46:12,2026-09-23T01:49:16,184.0,15,15,0,0,1.0,0.0,0.0,224.76662699562286,77.66796313116456,-17.713333333333335,3.437787217438123,5.51,5.32,53.86666666666667,3.2812599206199233,1.0,1.5933333333333333,1.0,4.0,2,1,1,0,0,0,0,0,0,0
TPMS-CLEAN-CHECK-20260923-025327,2026-09-23T02:53:46,2026-09-23T02:55:11,85.0,9,0,9,0,0.0,1.0,0.0,195.21950660017396,44.42541770524411,-18.544444444444444,4.115856870419303,2.723333333333333,2.4155555555555557,112.22222222222223,6.759766596891082,2.4444444444444446,35.78888888888889,0.03666666666666667,3.3333333333333335,0,0,0,0,0,0,0,0,0,0
TPMS-DECORR-FBA-20260924-235553,2026-09-24T23:56:10,2026-09-24T23:57:04,54.0,6,0,6,0,0.0,1.0,0.0,270.3483759792159,3.6066197454703244,-27.0,4.928285706003661,3.65,3.2683333333333335,84.66666666666667,6.21825270205921,1.3333333333333333,3.85,0.6933333333333334,3.5,0,0,0,0,0,0,0,0,0,0
TPMS-DECORR-FBSS-20260924-235842,2026-09-24T23:59:03,2026-09-25T00:00:48,105.0,10,0,10,0,0.0,1.0,0.0,266.65986531452904,2.070521515684326,-27.78,1.14968594745599,3.441,3.143,92.6,4.641599341223286,1.0,3.3,0.867,4.5,0,0,0,0,0,0,0,0,0,0
TPMS-ENGINE-SMOKE-20260923-034910,2026-09-23T03:50:14,2026-09-23T03:52:14,120.0,11,2,9,0,0.18181818181818182,0.8181818181818182,0.0,166.88024929415292,9.381049752562829,-17.645454545454545,2.9615413677217606,3.098181818181818,2.882727272727273,91.18181818181819,33.90226594733214,1.7727272727272727,7.127272727272728,0.36363636363636365,3.8181818181818183,0,0,0,0,0,0,0,0,0,0
TPMS-EPISODE-SMOKE-20260923-040249,2026-09-23T04:03:12,2026-09-23T04:05:53,161.0,14,3,11,0,0.21428571428571427,0.7857142857142857,0.0,167.32514708912328,10.991868820542766,-16.435714285714287,1.1875036148007445,3.6678571428571427,3.2399999999999998,78.64285714285714,30.953083959331202,1.4642857142857142,10.57857142857143,0.4878571428571429,4.071428571428571,0,0,0,0,0,0,0,0,0,0
TPMS-EVENTS-V1-20260923-012705,2026-09-23T01:27:37,2026-09-23T01:33:55,378.0,26,11,15,0,0.4230769230769231,0.5769230769230769,0.0,239.0055406196049,80.91466063182106,-18.007692307692306,2.9655249891947397,4.779230769230769,4.454230769230769,71.65384615384616,22.00125870525104,1.5769230769230769,14.207692307692307,0.4357692307692308,3.4615384615384617,1,1,0,0,0,0,0,0,0,0
TPMS-GEOMETRY-CHECK-20260924-234707,2026-09-24T23:47:32,2026-09-24T23:49:10,98.0,11,0,11,0,0.0,1.0,0.0,283.6908260665687,1.3473849611044886,-29.536363636363635,1.5041760051754098,3.21,2.4472727272727273,78.45454545454545,11.722744016343924,2.3181818181818183,3.390909090909091,0.31727272727272726,3.8181818181818183,0,0,0,0,0,0,0,0,0,0
